tickertime,openprice,closeprice,high,low,predictprice
2019-06-19,9273.06078283,9527.16035008,9594.42027595,9232.48426293,8334.863020348235
2019-06-18,9078.72760253,9273.52176614,9299.62104446,9070.39599386,8322.114352540484
2019-06-17,9335.46690152,9081.76285149,9348.37442796,9004.90174624,8309.381852703833
2019-06-16,8988.92370914,9320.35218253,9416.40744016,8988.92370914,8296.665504561697
2019-06-15,8841.44078361,8994.48801293,9335.86694232,8814.55645906,8283.965291849556
2019-06-14,8689.74641372,8838.37523367,8859.12746691,8618.39596373,8271.281198315033
2019-06-13,8230.89877378,8693.83281543,8710.63642127,8183.39293312,8258.613207717945
2019-06-12,8145.54523047,8230.92383068,8311.56742951,8087.06116595,8245.96130382997
2019-06-11,7925.43410401,8145.85747373,8196.64825685,7862.3597896,8233.325470435111
2019-06-10,8004.24354228,7927.71435114,8026.3942184,7772.80393035,8220.705691329491
2019-06-09,7692.28467885,8000.32982299,8031.90989621,7586.73084679,8208.101950321141
2019-06-08,7949.67470562,7688.07711075,7975.97432619,7583.21971271,8195.514231230341
2019-06-07,8036.774936,7954.12772355,8076.89110147,7837.61096128,8182.9425178892725
2019-06-06,7826.90126518,8043.95135807,8126.15348327,7788.3733918,8170.386794142488
2019-06-05,7819.63337781,7822.02338228,7937.34087946,7571.47097209,8157.8470438463
2019-06-04,7704.34318039,7824.23153913,7901.8489052,7668.6687003,8145.323250869314
2019-06-03,8210.98582388,7707.77077085,8210.98582388,7564.48860353,8132.815399091957
2019-06-02,8741.74721596,8208.99482964,8743.50012386,8204.18581516,8120.323472407006
2019-06-01,8565.47326214,8742.95810038,8809.30399136,8561.23513935,8107.847454718982
2019-05-31,8573.83972489,8564.01647182,8625.60025901,8481.57822194,8095.387329944748
2019-05-30,8320.28637611,8574.50164907,8586.65937818,8172.55084356,8082.943082012903
2019-05-29,8661.76050606,8319.47222898,9008.31456846,8221.27336604,8070.5146948641805
2019-05-28,8718.59132866,8659.48775584,8755.85207898,8482.72893785,8058.102152451505
2019-05-27,8802.75819975,8719.9617362,8807.01613958,8634.72130428,8045.705438739594
2019-05-26,8674.07240318,8805.7783766,8907.17444077,8668.70492015,8033.324537705282
2019-05-25,8055.20591925,8673.21603511,8687.52079924,7924.67019111,8020.959433337386
2019-05-24,7991.88503911,8052.54385907,8117.92594496,7965.97621163,8008.610109636766
2019-05-23,7881.6953208,7987.37156583,8140.71991773,7824.44888684,7996.276550616122
2019-05-22,7677.26883391,7881.84672105,7943.79138993,7533.196693,7983.958740300388
2019-05-21,7956.29214912,7680.06654589,7997.61243859,7615.98748467,7971.656662726196
2019-05-20,7977.96936984,7963.32777911,8062.16804044,7843.33978307,7959.370301942405
2019-05-19,8196.92393539,7978.30907244,8200.96799673,7678.78158711,7947.099642009823
2019-05-18,7267.96301884,8197.68969114,8261.94116696,7267.96301884,7934.844667000886
2019-05-17,7341.66441915,7271.20790408,7447.2717408,7251.50451112,7922.605361000434
2019-05-16,7886.92599261,7343.89571659,7929.14555093,7038.12453946,7910.381708105052
2019-05-15,8194.50090343,7884.90929094,8320.82435452,7729.60838515,7898.173692423262
2019-05-14,7989.37450547,8205.16749484,8216.42381116,7899.10688404,7885.981298075523
2019-05-13,7807.88444936,7994.41615632,8268.71267944,7696.39104325,7873.804509194284
2019-05-12,6971.17820581,7814.91513992,8047.41300187,6898.2824267,7861.643309923922
2019-05-11,7203.50752166,6972.37152291,7503.87183327,6815.77092608,7849.497684420668
2019-05-10,6379.66690526,7204.77169716,7333.00312262,6375.69861161,7837.367616852668
2019-05-09,6175.82273778,6378.8489737,6434.61766164,6161.51907243,7825.253091400111
2019-05-08,5982.31627033,6174.52868876,6183.03929388,5982.31627033,7813.154092255027
2019-05-07,5849.48135039,5982.45732286,5989.98114696,5794.71564865,7801.0706036212205
2019-05-06,5745.59904909,5829.50151628,5988.17834158,5741.39591074,7789.002609714588
2019-05-05,5791.69326658,5746.80700343,5802.95753492,5653.68761092,7776.9500947627275
2019-05-04,5831.06846097,5795.70842926,5833.86291815,5708.03512399,7764.913043005381
2019-05-03,5769.20253322,5831.16747167,5886.8934994,5645.46932165,7752.891438693794
2019-05-02,5505.55237976,5768.28940693,5865.88207851,5490.2018629,7740.885266091476
2019-05-01,5402.42286531,5505.28367176,5522.26255673,5394.21751696,7728.89450947343
2019-04-30,5350.91450555,5402.69709069,5418.004045,5347.6461061,7716.919153126848
2019-04-29,5247.72588172,5350.72669668,5363.25752308,5224.18984511,7704.959181350602
